Description,ANGLE OF ATTACK - ALPHA (AOA),ANGLE OF SIDESLIP - BETHA (SDSLIP),1P STICK ROLL POSITION (POSAILECMD),LH AILERON DEFLECTION (POSAILLH),RH AILERON DEFLECTION (POSAILRH),ELEVATOR DEFLECTION (POSELEV),1P STICK PITCH POSITION (POSELEVCMD),RUDDER DEFLECTION (POSRUDD),1P PEDAL POSITION (POSRUDDCMD),LH FLAP DEFLECTION (FLAPLH),RH FLAP DEFLECTION (FLAPRH),ELEVATOR LONGITUDINAL FORCE STRAIN GAGE,AILERON LATERAL FORCE STRAIN GAGE,PITCH TRIM,ROLL TRIM,RUDDER TRIM
EU,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,kg,kg,deg,deg,deg
198:09:40:09.600,30.77863312,-30,-0.30225563,-2.270194054,1.628759027,-18.77551079,14.79410076,-4.631474018,1.208333373,15.22221661,15.27788734,0.200701758,0.327304959,-0.239970863,-0.179883167,2.74290061
198:09:40:09.700,30.77863312,-30,-0.30225563,-2.325220346,1.639820218,-18.68645668,14.77286148,-4.125497818,0.98828125,15.22221661,15.28083515,0.161929831,0.320390075,-0.239533752,-0.179883167,2.838811159
198:09:40:09.800,30.77863312,-30,-0.30225563,-2.306878328,1.619080544,-18.85528755,14.90029526,-4.019920349,0.953125,15.22221661,15.28083515,0.180175439,0.334219873,-0.239096642,-0.175790966,2.717424393
198:09:40:09.900,30.77863312,-30,-0.30225563,-2.353439093,1.631524324,-18.6641922,14.78466034,-3.95418334,0.962239563,15.22221661,15.28378391,0.28052631,0.324999988,-0.238659546,-0.177837074,2.727914572
198:09:40:10.000,30.77863312,-30,-0.297744364,-2.316754818,1.634289622,-18.69202232,14.77522087,-4.059761047,0.994791687,15.22221661,15.2734642,0.066140354,0.290425539,-0.239096642,-0.179883167,2.756388187
198:09:40:10.100,30.77863312,-30,-0.30225563,-2.316754818,1.628759027,-18.94434166,14.91445446,-4.069721222,1.002604127,15.22221661,15.2705164,0.262280703,0.276595742,-0.239533752,-0.175790966,2.741402149
198:09:40:10.200,30.77863312,-30,-0.30225563,-2.294179916,1.634289622,-18.7606678,14.79174042,-4,1.015625,15.22221661,15.28230953,0.198421046,0.31117022,-0.239970863,-0.175790966,2.741402149
198:09:40:10.300,30.77863312,-30,-0.30225563,-2.305467367,1.630141735,-18.98701286,15.01356888,-4.075697422,1.005208373,15.22221661,15.2734642,0.152807012,0.329609931,-0.239533752,-0.171698764,2.73990345
198:09:40:10.400,30.77863312,-30,-0.30225563,-2.33932972,1.631524324,-18.97588158,14.86489677,-4.099601746,1.05859375,15.22221661,15.27198982,0.120877191,0.31117022,-0.239533752,-0.173744872,2.738404989
198:09:40:10.500,30.77863312,-30,-0.30225563,-2.371781349,1.642585516,-19.13358116,15.05604744,-4.272908211,1.08984375,15.22221661,15.28378391,0.360350877,0.343439728,-0.238222435,-0.173744872,2.73990345
198:09:40:10.600,30.77863312,-30,-0.30225563,-2.268783092,1.630141735,-19.12059402,15.04660797,-4.368525982,1.122395873,15.22221661,15.2705164,0.150526315,0.301950365,-0.236911118,-0.177837074,2.826822519
198:09:40:10.700,30.77863312,-30,-0.30225563,-2.247619152,1.632907033,-19,14.90501499,-4.312748909,1.143229127,15.22221661,15.27641296,0.191578954,0.297340423,-0.237785339,-0.177837074,2.73091197
